Route_name,Route_link
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Phagwara to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Jalandhar to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
Patiala to Delhi Airport,https://www.redbus.in/bus-tickets/patiala-to-delhi-airport
Jalandhar to Delhi Airport,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport
Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport
Phagwara to Delhi Airport,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport
Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
Delhi to Phagwara,https://www.redbus.in/bus-tickets/delhi-to-phagwara
Delhi to Amritsar,https://www.redbus.in/bus-tickets/delhi-to-amritsar
Amritsar to Delhi,https://www.redbus.in/bus-tickets/amritsar-to-delhi
Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala
Amritsar to Delhi Airport,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport
Kapurthala to Delhi,https://www.redbus.in/bus-tickets/kapurthala-to-delhi
Delhi Airport to Jalandhar,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar
Chandigarh to Bathinda,https://www.redbus.in/bus-tickets/chandigarh-to-bathinda
Chandigarh to Faridkot,https://www.redbus.in/bus-tickets/chandigarh-to-faridkot
Chandigarh to Patiala,https://www.redbus.in/bus-tickets/chandigarh-to-patiala
